,strain,species,0,1,2,3,4,detailed_species
525,Cannatonic,hybrid,Cannatonic,,,,,mixed-hybrid
526,Caramelicious,hybrid,Caramelicious,,,,,mixed-hybrid
527,Casey Jones,hybrid,Casey,Jones,,,,mixed-hybrid
528,Cataract Kush,hybrid,Cataract,Kush,,,,mixed-hybrid
529,Champagne Kush,hybrid,Champagne,Kush,,,,mixed-hybrid
530,Cheese,hybrid,Cheese,,,,,mixed-hybrid
531,Chem Crush,hybrid,Chem,Crush,,,,mixed-hybrid
532,Chemdawg,hybrid,Chemdawg,,,,,mixed-hybrid
533,Chernobyl,hybrid,Chernobyl,,,,,mixed-hybrid
534,Cherry AK-47,hybrid,Cherry,AK-47,,,,mixed-hybrid
535,Cherry Bomb,hybrid,Cherry,Bomb,,,,mixed-hybrid
536,Cherry Kush,hybrid,Cherry,Kush,,,,mixed-hybrid
537,Cherry Limeade,hybrid,Cherry,Limeade,,,,mixed-hybrid
538,Cherry Pie,hybrid,Cherry,Pie,,,,mixed-hybrid
539,Chiesel,hybrid,Chiesel,,,,,mixed-hybrid
540,Chocolate Kush,hybrid,Chocolate,Kush,,,,mixed-hybrid
541,Cinex,hybrid,Cinex,,,,,mixed-hybrid
542,Colorado Chem,hybrid,Colorado,Chem,,,,mixed-hybrid
543,Connie Chung,hybrid,Connie,Chung,,,,mixed-hybrid
544,Cookies and Cream,hybrid,Cookies,and,Cream,,,mixed-hybrid
545,Crimea Blue,hybrid,Crimea,Blue,,,,mixed-hybrid
546,Dairy Queen,hybrid,Dairy,Queen,,,,mixed-hybrid
547,Deadhead OG,hybrid,Deadhead,OG,,,,mixed-hybrid
548,Diesel Duff,hybrid,Diesel,Duff,,,,mixed-hybrid
549,Dieseltonic,hybrid,Dieseltonic,,,,,mixed-hybrid
550,Dogwalker OG,hybrid,Dogwalker,OG,,,,mixed-hybrid
551,Donna OG,hybrid,Donna,OG,,,,mixed-hybrid
552,Dopium,hybrid,Dopium,,,,,mixed-hybrid
553,Dreadlock,hybrid,Dreadlock,,,,,mixed-hybrid
554,Dream Queen,hybrid,Dream,Queen,,,,mixed-hybrid
555,Durban Cheese,hybrid,Durban,Cheese,,,,mixed-hybrid
556,Dutch Treat,hybrid,Dutch,Treat,,,,mixed-hybrid
557,Euphoria,hybrid,Euphoria,,,,,mixed-hybrid
558,Earth OG,hybrid,Earth,OG,,,,mixed-hybrid
559,Earthquake,hybrid,Earthquake,,,,,mixed-hybrid
560,Ed Rosenthal Super Bud,hybrid,Ed,Rosenthal,Super,Bud,,mixed-hybrid
561,El-Na,hybrid,El-Na,,,,,mixed-hybrid
562,El Niño,hybrid,El,Niño,,,,mixed-hybrid
563,Ewok,hybrid,Ewok,,,,,mixed-hybrid
564,Exodus Cheese,hybrid,Exodus,Cheese,,,,mixed-hybrid
565,Fire OG,hybrid,Fire,OG,,,,mixed-hybrid
566,Flourish,hybrid,Flourish,,,,,mixed-hybrid
567,Fruity Pebbles,hybrid,Fruity,Pebbles,,,,mixed-hybrid
568,Ghost OG,hybrid,Ghost,OG,,,,mixed-hybrid
569,Girl Scout Cookies,hybrid,Girl,Scout,Cookies,,,mixed-hybrid
570,Goldberry,hybrid,Goldberry,,,,,mixed-hybrid
571,Golden Goat,hybrid,Golden,Goat,,,,mixed-hybrid
572,Gorilla Glue #4,hybrid,Gorilla,Glue,#4,,,mixed-hybrid
573,Grand Hustle,hybrid,Grand,Hustle,,,,mixed-hybrid
574,Grapefruit Diesel,hybrid,Grapefruit,Diesel,,,,mixed-hybrid
575,Grapefruit Haze,hybrid,Grapefruit,Haze,,,,mixed-hybrid
576,Grapefruit Kush,hybrid,Grapefruit,Kush,,,,mixed-hybrid
577,Grape God,hybrid,Grape,God,,,,mixed-hybrid
578,Grape Kush,hybrid,Grape,Kush,,,,mixed-hybrid
579,Green Door Kush,hybrid,Green,Door,Kush,,,mixed-hybrid
580,Green Hornet,hybrid,Green,Hornet,,,,mixed-hybrid
581,Green Monster,hybrid,Green,Monster,,,,mixed-hybrid
582,Green Queen,hybrid,Green,Queen,,,,mixed-hybrid
583,Green Ribbon,hybrid,Green,Ribbon,,,,mixed-hybrid
584,"G Stik ""Orange""",hybrid,G,Stik,"""Orange""",,,mixed-hybrid
585,"G Stik ""Verde""",hybrid,G,Stik,"""Verde""",,,mixed-hybrid
586,Guava Chem,hybrid,Guava,Chem,,,,mixed-hybrid
587,Guava Kush,hybrid,Guava,Kush,,,,mixed-hybrid
588,Harlequin,hybrid,Harlequin,,,,,mixed-hybrid
589,Harmony,hybrid,Harmony,,,,,mixed-hybrid
590,Hawaiian Punch,hybrid,Hawaiian,Punch,,,,mixed-hybrid
591,Hawaiian Thunder Fuck,hybrid,Hawaiian,Thunder,Fuck,,,mixed-hybrid
592,Headband,hybrid,Headband,,,,,mixed-hybrid
593,Heavy Duty Fruity,hybrid,Heavy,Duty,Fruity,,,mixed-hybrid
594,Himalayan Gold,hybrid,Himalayan,Gold,,,,mixed-hybrid
595,Hindu Skunk,hybrid,Hindu,Skunk,,,,mixed-hybrid
596,Holistic,hybrid,Holistic,,,,,mixed-hybrid
597,Holy Grail Kush,hybrid,Holy,Grail,Kush,,,mixed-hybrid
598,Ice,hybrid,Ice,,,,,mixed-hybrid
599,Jah Kush,hybrid,Jah,Kush,,,,mixed-hybrid
600,Jack Flash,hybrid,Jack,Flash,,,,mixed-hybrid
601,Jack Frost,hybrid,Jack,Frost,,,,mixed-hybrid
602,Jack Kush,hybrid,Jack,Kush,,,,mixed-hybrid
603,Jack the Ripper,hybrid,Jack,the,Ripper,,,mixed-hybrid
604,Jilly Bean,hybrid,Jilly,Bean,,,,mixed-hybrid
605,Juicy Fruit,hybrid,Juicy,Fruit,,,,mixed-hybrid
606,Julius Caesar,hybrid,Julius,Caesar,,,,mixed-hybrid
607,Kahuna,hybrid,Kahuna,,,,,mixed-hybrid
608,Key Lime Haze,hybrid,Key,Lime,Haze,,,mixed-hybrid
609,Khola,hybrid,Khola,,,,,mixed-hybrid
610,Killer Queen,hybrid,Killer,Queen,,,,mixed-hybrid
611,Kimbo Kush,hybrid,Kimbo,Kush,,,,mixed-hybrid
612,King Kong,hybrid,King,Kong,,,,mixed-hybrid
613,Kushage,hybrid,Kushage,,,,,mixed-hybrid
614,Kushashima,hybrid,Kushashima,,,,,mixed-hybrid
615,Kushberry,hybrid,Kushberry,,,,,mixed-hybrid
616,LA Jack,hybrid,LA,Jack,,,,mixed-hybrid
617,Lambo OG,hybrid,Lambo,OG,,,,mixed-hybrid
618,LAPD,hybrid,LAPD,,,,,mixed-hybrid
619,LA Woman,hybrid,LA,Woman,,,,mixed-hybrid
620,Lavender,hybrid,Lavender,,,,,mixed-hybrid
621,Lemon Diesel,hybrid,Lemon,Diesel,,,,mixed-hybrid
622,Lemon Drop,hybrid,Lemon,Drop,,,,mixed-hybrid
623,Lemon Skunk,hybrid,Lemon,Skunk,,,,mixed-hybrid
624,Lemon Walker OG,hybrid,Lemon,Walker,OG,,,mixed-hybrid
625,Liberty Haze,hybrid,Liberty,Haze,,,,mixed-hybrid
626,Lowryder,hybrid,Lowryder,,,,,mixed-hybrid
627,LSD,hybrid,LSD,,,,,mixed-hybrid
628,Lucky Charms,hybrid,Lucky,Charms,,,,mixed-hybrid
629,M-39,hybrid,M-39,,,,,mixed-hybrid
630,Mad Dog,hybrid,Mad,Dog,,,,mixed-hybrid
631,Mango Kush,hybrid,Mango,Kush,,,,mixed-hybrid
632,Maui Berry,hybrid,Maui,Berry,,,,mixed-hybrid
633,Martian Mean Green,hybrid,Martian,Mean,Green,,,mixed-hybrid
634,Master Yoda,hybrid,Master,Yoda,,,,mixed-hybrid
635,Medicine Man,hybrid,Medicine,Man,,,,mixed-hybrid
636,Mendocino Purps,hybrid,Mendocino,Purps,,,,mixed-hybrid
637,Mother's Helper,hybrid,Mother's,Helper,,,,mixed-hybrid
638,Nebula,hybrid,Nebula,,,,,mixed-hybrid
639,Neville's Haze,hybrid,Neville's,Haze,,,,mixed-hybrid
640,Northern Lights #5,hybrid,Northern,Lights,#5,,,mixed-hybrid
641,Northern Skunk,hybrid,Northern,Skunk,,,,mixed-hybrid
642,Odyssey,hybrid,Odyssey,,,,,mixed-hybrid
643,OG Diesel Kush,hybrid,OG,Diesel,Kush,,,mixed-hybrid
644,OGiesel,hybrid,OGiesel,,,,,mixed-hybrid
645,OG Kush,hybrid,OG,Kush,,,,mixed-hybrid
646,OG Poison,hybrid,OG,Poison,,,,mixed-hybrid
647,OG Shark,hybrid,OG,Shark,,,,mixed-hybrid
648,Old Lyme Connecticut OG,hybrid,Old,Lyme,Connecticut,OG,,mixed-hybrid
649,Orange Bud,hybrid,Orange,Bud,,,,mixed-hybrid
650,Orange Crush,hybrid,Orange,Crush,,,,mixed-hybrid
651,Orange Diesel,hybrid,Orange,Diesel,,,,mixed-hybrid
652,Orange Kush,hybrid,Orange,Kush,,,,mixed-hybrid
653,Orange Skunk,hybrid,Orange,Skunk,,,,mixed-hybrid
654,Orange Velvet,hybrid,Orange,Velvet,,,,mixed-hybrid
655,Organic Diesel,hybrid,Organic,Diesel,,,,mixed-hybrid
656,P-91,hybrid,P-91,,,,,mixed-hybrid
657,Permafrost,hybrid,Permafrost,,,,,mixed-hybrid
658,Pineapple,hybrid,Pineapple,,,,,mixed-hybrid
659,Pineapple Express,hybrid,Pineapple,Express,,,,mixed-hybrid
660,Pineapple Kush,hybrid,Pineapple,Kush,,,,mixed-hybrid
661,Platinum Girl Scout Cookies,hybrid,Platinum,Girl,Scout,Cookies,,mixed-hybrid
662,Purple AK-47,hybrid,Purple,AK-47,,,,mixed-hybrid
663,Purple Arrow,hybrid,Purple,Arrow,,,,mixed-hybrid
664,Purple Diesel,hybrid,Purple,Diesel,,,,mixed-hybrid
665,Purple Dream,hybrid,Purple,Dream,,,,mixed-hybrid
666,Purple Hashplant,hybrid,Purple,Hashplant,,,,mixed-hybrid
667,Purple Jack,hybrid,Purple,Jack,,,,mixed-hybrid
668,Purple Princess,hybrid,Purple,Princess,,,,mixed-hybrid
669,Purple Sage,hybrid,Purple,Sage,,,,mixed-hybrid
670,Purple Sour Diesel,hybrid,Purple,Sour,Diesel,,,mixed-hybrid
671,Purple Trainwreck,hybrid,Purple,Trainwreck,,,,mixed-hybrid
672,Purple Voodoo,hybrid,Purple,Voodoo,,,,mixed-hybrid
673,Qrazy Train,hybrid,Qrazy,Train,,,,mixed-hybrid
674,Quebec Gold,hybrid,Quebec,Gold,,,,mixed-hybrid
675,Querkle,hybrid,Querkle,,,,,mixed-hybrid
676,Rainbow,hybrid,Rainbow,,,,,mixed-hybrid
677,Recon,hybrid,Recon,,,,,mixed-hybrid
678,Red Cherry Berry,hybrid,Red,Cherry,Berry,,,mixed-hybrid
679,Redding OG,hybrid,Redding,OG,,,,mixed-hybrid
680,Richie Rich,hybrid,Richie,Rich,,,,mixed-hybrid
681,Rocklock,hybrid,Rocklock,,,,,mixed-hybrid
682,Romping Goddess,hybrid,Romping,Goddess,,,,mixed-hybrid
683,Romulan Grapefruit,hybrid,Romulan,Grapefruit,,,,mixed-hybrid
684,Royal Dwarf,hybrid,Royal,Dwarf,,,,mixed-hybrid
685,Royal Kush,hybrid,Royal,Kush,,,,mixed-hybrid
686,Russian Rocket Fuel,hybrid,Russian,Rocket,Fuel,,,mixed-hybrid
687,SAGE,hybrid,SAGE,,,,,mixed-hybrid
688,Saturn OG,hybrid,Saturn,OG,,,,mixed-hybrid
689,SFV OG,hybrid,SFV,OG,,,,mixed-hybrid
690,Sharksbreath,hybrid,Sharksbreath,,,,,mixed-hybrid
691,Shiatsu Kush,hybrid,Shiatsu,Kush,,,,mixed-hybrid
692,Shishkaberry,hybrid,Shishkaberry,,,,,mixed-hybrid
693,Shoreline,hybrid,Shoreline,,,,,mixed-hybrid
694,Sierra Mist,hybrid,Sierra,Mist,,,,mixed-hybrid
695,Skunky Diesel,hybrid,Skunky,Diesel,,,,mixed-hybrid
696,Sky Dog,hybrid,Sky,Dog,,,,mixed-hybrid
697,Snow White,hybrid,Snow,White,,,,mixed-hybrid
698,Sour Cheese,hybrid,Sour,Cheese,,,,mixed-hybrid
699,Sour Dream,hybrid,Sour,Dream,,,,mixed-hybrid
700,Sour Grape,hybrid,Sour,Grape,,,,mixed-hybrid
701,Sour Grapes,hybrid,Sour,Grapes,,,,mixed-hybrid
702,Sour Jilly,hybrid,Sour,Jilly,,,,mixed-hybrid
703,Sour Kush,hybrid,Sour,Kush,,,,mixed-hybrid
704,Sour OG,hybrid,Sour,OG,,,,mixed-hybrid
705,Space Bomb,hybrid,Space,Bomb,,,,mixed-hybrid
706,Space Queen,hybrid,Space,Queen,,,,mixed-hybrid
707,Stardawg,hybrid,Stardawg,,,,,mixed-hybrid
708,Starry Night,hybrid,Starry,Night,,,,mixed-hybrid
709,Strawberry Banana,hybrid,Strawberry,Banana,,,,mixed-hybrid
710,Strawberry Diesel,hybrid,Strawberry,Diesel,,,,mixed-hybrid
711,Super Blue Dream,hybrid,Super,Blue,Dream,,,mixed-hybrid
712,Super Lemon Haze,hybrid,Super,Lemon,Haze,,,mixed-hybrid
713,Super Sour Widow,hybrid,Super,Sour,Widow,,,mixed-hybrid
714,Sweet Kush,hybrid,Sweet,Kush,,,,mixed-hybrid
715,Sweet Tooth,hybrid,Sweet,Tooth,,,,mixed-hybrid
716,Tangerine Dream,hybrid,Tangerine,Dream,,,,mixed-hybrid
717,Thaidal Wave,hybrid,Thaidal,Wave,,,,mixed-hybrid
718,THC Bomb,hybrid,THC,Bomb,,,,mixed-hybrid
719,The Flav,hybrid,The,Flav,,,,mixed-hybrid
720,The Void,hybrid,The,Void,,,,mixed-hybrid
721,Thin Mint Girl Scout Cookies,hybrid,Thin,Mint,Girl,Scout,Cookies,mixed-hybrid
722,Tiger Woods,hybrid,Tiger,Woods,,,,mixed-hybrid
723,Tranquil,hybrid,Tranquil,,,,,mixed-hybrid
724,Trident,hybrid,Trident,,,,,mixed-hybrid
725,Trifecta,hybrid,Trifecta,,,,,mixed-hybrid
726,Tropicali,hybrid,Tropicali,,,,,mixed-hybrid
727,Tropical Tang,hybrid,Tropical,Tang,,,,mixed-hybrid
728,UK Cheese,hybrid,UK,Cheese,,,,mixed-hybrid
729,Unwind,hybrid,Unwind,,,,,mixed-hybrid
730,Verde Electric,hybrid,Verde,Electric,,,,mixed-hybrid
731,Waldo,hybrid,Waldo,,,,,mixed-hybrid
732,Walrus Kush,hybrid,Walrus,Kush,,,,mixed-hybrid
733,White Dawg,hybrid,White,Dawg,,,,mixed-hybrid
734,White Fire Alien OG,hybrid,White,Fire,Alien,OG,,mixed-hybrid
735,White Queen,hybrid,White,Queen,,,,mixed-hybrid
736,White Rhino,hybrid,White,Rhino,,,,mixed-hybrid
737,White Russian,hybrid,White,Russian,,,,mixed-hybrid
738,White Widow,hybrid,White,Widow,,,,mixed-hybrid
739,White Zombie,hybrid,White,Zombie,,,,mixed-hybrid
740,Willy's Wonder,hybrid,Willy's,Wonder,,,,mixed-hybrid
741,Wonder Haze,hybrid,Wonder,Haze,,,,mixed-hybrid
742,Wonder Woman,hybrid,Wonder,Woman,,,,mixed-hybrid
743,Wonka's Bubblicious,hybrid,Wonka's,Bubblicious,,,,mixed-hybrid
744,XJ-13,hybrid,XJ-13,,,,,mixed-hybrid
